Page Path,Writer,Team,GitHub Username
_docs/_partners/data_and_analytics/reverse_etl/census.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/reverse_etl/census/census_cohort_import.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/reverse_etl/dinmo.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/reverse_etl/hightouch.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/reverse_etl/hightouch/hightouch.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/reverse_etl/hightouch/hightouch_cohort_import.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/reverse_etl/hightouch/hightouch_personalization_api.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/workflow_automation.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/workflow_automation/airbyte.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/workflow_automation/fivetran.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/workflow_automation/metarouter.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/workflow_automation/mozart_data.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/workflow_automation/nexla.md,Adam,Partnerships,atom-evens
_docs/_partners/data_and_analytics/workflow_automation/zapier.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/analytics_workflow.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/analytics_workflow/okendo.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/analytics_workflow/peak.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/analytics_workflow/tangerine.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/analytics_workflow/wunderkind.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/dynamic_pricing_promotions.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/loyalty.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/loyalty/swym.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/loyalty/voucherify.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/mobile_app_platform.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/mobile_app_platform/poq.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/ordering_payments_subscription.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/ordering_payments_subscription/narvar.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/ordering_payments_subscription/olo.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/ordering_payments_subscription/recurly.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/ordering_payments_subscription/revenuecat.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/ordering_payments_subscription/stripe.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/payments.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/payments/transcend.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/product_search_recommendations.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/product_search_recommendations/algolia.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/product_search_recommendations/constructor.md,Adam,Partnerships,atom-evens
_docs/_partners/ecommerce/shopify.md,Rachel,Shopify,rachel-feinberg
_docs/_partners/ecommerce/shopify/discount_codes.md,Rachel,Shopify,rachel-feinberg
_docs/_partners/ecommerce/shopify/multiple_stores.md,Rachel,Shopify,rachel-feinberg
_docs/_partners/ecommerce/shopify/shopify_catalogs.md,Rachel,Shopify,rachel-feinberg
_docs/_partners/ecommerce/shopify/shopify_catalogs/faq.md,Rachel,Shopify,rachel-feinberg
_docs/_partners/ecommerce/shopify/shopify_custom_integration.md,Rachel,Shopify,rachel-feinberg
_docs/_partners/ecommerce/shopify/shopify_data_features.md,Rachel,Shopify,rachel-feinberg
_docs/_partners/ecommerce/shopify/shopify_for_currents.md,Rachel,Shopify,rachel-feinberg
_docs/_partners/ecommerce/shopify/shopify_markets.md,Docs Team,,docs-team
_docs/_partners/ecommerce/shopify/shopify_overview.md,Rachel,Shopify,rachel-feinberg
_docs/_partners/ecommerce/shopify/shopify_segments_sync.md,Rachel,Shopify,rachel-feinberg
_docs/_partners/ecommerce/shopify/shopify_standard_integration.md,Rachel,Shopify,rachel-feinberg
_docs/_partners/ecommerce/shopify/shopify_standard_integration_third_party_tagging.md,Rachel,Shopify,rachel-feinberg
_docs/_partners/ecommerce/tapcart.md,Adam,Partnerships,atom-evens
_docs/_partners/home.md,Adam,Partnerships,atom-evens
_docs/_partners/isv_partners.md,Adam,Partnerships,atom-evens
_docs/_partners/isv_partners/api_partner.md,Adam,Partnerships,atom-evens
_docs/_partners/isv_partners/best_practices.md,Adam,Partnerships,atom-evens
_docs/_partners/isv_partners/cohort_import.md,Adam,Partnerships,atom-evens
_docs/_partners/isv_partners/data_transformation.md,Adam,Partnerships,atom-evens
_docs/_partners/isv_partners/snowflake_datasharing.md,Zair,Data Lakehouse,zairro
_docs/_partners/message_orchestration.md,Adam,Partnerships,atom-evens
_docs/_partners/message_orchestration/ab_testing.md,Adam,Partnerships,atom-evens
_docs/_partners/message_orchestration/attribution.md,Adam,Partnerships,atom-evens
_docs/_partners/message_orchestration/attribution/adjust.md,Adam,Partnerships,atom-evens
_docs/_partners/message_orchestration/attribution/airbridge.md,Adam,Partnerships,atom-evens
_docs/_partners/message_orchestration/attribution/branch_for_attribution.md,Adam,Partnerships,atom-evens
_docs/_partners/message_orchestration/attribution/kochava.md,Adam,Partnerships,atom-evens
_docs/_partners/message_orchestration/attribution/linkrunner.md,Adam,Partnerships,atom-evens
_docs/_partners/message_orchestration/attribution/singular.md,Adam,Partnerships,atom-evens
_docs/_partners/message_orchestration/cms_dam.md,Adam,Partnerships,atom-evens
_docs/_partners/message_orchestration/cms_dam/contentful.md,Adam,Partnerships,atom-evens
_docs/_partners/message_orchestration/deeplinking.md,Adam,Partnerships,atom-evens
_docs/_partners/message_orchestration/deeplinking/appsflyer.md,Adam,Partnerships,atom-evens
