path,size_bytes
assets/img/multi-language_support/multi-language_support.png,40228
assets/img/multi-language_support/push_manage_languages.png,87463
assets/img/multi-language_support/push_translation_tags.png,44517
assets/img/multi-language_support/translation_csv_example.png,19134
assets/img/multi-language_support/upload_translation.png,38176
assets/img/multiple_stores.png,20724
assets/img/multiple_stores2.png,42142
assets/img/navigation/expand_collapse_menu.gif,2418317
assets/img/navigation/global_header_compare.png,18271
assets/img/navigation/global_header_new.png,11589
assets/img/navigation/global_header_old.png,15198
assets/img/navigation/global_header_switch.png,5028
assets/img/navigation/global_search_new.png,55196
assets/img/navigation/global_search_synonym.png,21187
assets/img/navigation/minimized_menu_tooltip.png,8974
assets/img/navigation/quick_links.png,18219
assets/img/navigation/share_feedback.png,36775
assets/img/navigation/sidebar_behavior.gif,808895
assets/img/navigation/sidebar_compare.png,57547
assets/img/navigation/sidebar_new.png,20171
assets/img/navigation/sidebar_old.png,38428
assets/img/navigation/vertical_menu.gif,4610516
assets/img/navigation_co_set.gif,1565506
assets/img/neura-braze-api-key.png,45555
assets/img/new-icons/api.svg,1543
assets/img/new-icons/circle-info-solid.svg,370
assets/img/new-icons/file-contract-solid.svg,761
assets/img/new-icons/gears.svg,2900
assets/img/new-icons/html-file.svg,556
assets/img/new-icons/right-arrow.svg,853
assets/img/new-icons/right-arrow2.svg,4248
assets/img/new-icons/users.svg,1194
assets/img/new-icons/users2.svg,1054
assets/img/new_current.png,14194
assets/img/nf_icon.png,493
assets/img/nift/braze_account_linked.png,24891
assets/img/null_reply-to.png,21259
assets/img/odicci/braze_endpoint.png,51038
assets/img/offerfit/of_integration_workflow.png,25502
assets/img/offerfit/of_use_case_example.png,50250
assets/img/onetrust/onetrust3.png,5773
assets/img/operator/operator_model.png,136982
assets/img/operator/operator_panel.png,249853
assets/img/operator/operator_profile.png,31672
assets/img/operator/operator_reasoning.png,110645
assets/img/operator/operator_reasoning_expanded.png,32982
assets/img/optimal-send-time.png,55406
assets/img/partner_template/partner_folder.png,22457
assets/img/partner_template/partner_merge.png,12009
assets/img/partner_template/partnership_clone.png,21719
assets/img/partner_template/partnership_fork.png,3969
assets/img/pencil-paper.png,1070
assets/img/permission_sets_manage.png,53229
assets/img/phrasee/10_push_two_lines.png,20567
assets/img/phrasee/11_push_messagebody.png,17122
assets/img/phrasee/1_create_apikey.png,9756
assets/img/phrasee/2_campaignaccess.png,30069
assets/img/phrasee/3_phrasee_braze1.png,29779
assets/img/phrasee/4_braze_emailtag.png,5216
assets/img/phrasee/5_copy_variant_braze.png,5049
assets/img/phrasee/6_braze_schedule.png,18151
assets/img/phrasee/7_braze_send_winner.png,20443
assets/img/phrasee/8_braze_int_drawer.png,34574
assets/img/phrasee/9_braze_push_tag.png,4786
assets/img/pinterest/pinterest10.png,38203
assets/img/pinterest/pinterest4.png,17826
assets/img/pinterest/pinterest5.png,13006
assets/img/pinterest/pinterest6.png,22333
assets/img/pinterest/pinterest7.png,137469
assets/img/pinterest/pinterest8.png,142666
assets/img/pinterest/pinterest9.png,153962
assets/img/placeholder_entity_relationship_diagram.jpg,1607692
assets/img/promocardmap.png,7841
assets/img/promocodes/promocode2.png,6054
assets/img/promocodes/promocode6.png,16704
assets/img/punchh/punchh2.png,14619
assets/img/punchh/punchh5.png,46147
assets/img/punchh/update2.png,4893
assets/img/punchh/update6.png,59571
assets/img/purchase1.png,34232
assets/img/purchase3.png,13578
assets/img/purchase4.jpg,35422
assets/img/purchase5.png,11570
assets/img/purchasePrediction/filters.png,20969
assets/img/purchasePrediction/purchaseFilters.png,21597
assets/img/purchasePrediction/purchasesOverview.png,122287
assets/img/push-advancement-behavior.png,40443
assets/img/push_icon.png,531
assets/img/push_primer/push_primer_2.png,62356
assets/img/push_primer/push_primer_3.png,10928
assets/img/push_primer/push_primer_4.png,101216
assets/img/push_primer/push_primer_5.png,194229
assets/img/push_primer/push_primer_6.jpg,71235
assets/img/push_primer/push_primer_7.png,11088
assets/img/rcs/rcs_ai_copywriter.png,9658
assets/img/react-native/iam-test.png,55878
assets/img/recommended_events/order_activity.png,3598
assets/img/red-dress.gif,242363
assets/img/regal/request_header.png,81744
assets/img/regal/webhook_rawtext.png,17720
assets/img/relaystate2.png,16311
assets/img/report_builder_2/download_options_1.png,144872
assets/img/restore_interaction_data.png,16561
assets/img/roku/1-Platform-Selector.png,39784
assets/img/roku/Docs-Imagery.png,53827
assets/img/roku/Roku-In-App-Messages-Example.png,60055
assets/img/roku/Roku-In-App-Messages-Flow.png,49921
assets/img/rtl_comparison.png,48106
assets/img/samlsso.gif,10475851
assets/img/sample_tile.png,13138
assets/img/scroll-bar-on.png,2977
assets/img/scroll-overlap.png,8208
assets/img/search_navy_cove.svg,457
assets/img/search_white.svg,454
assets/img/segment-creation.png,32879
assets/img/segment-imported-users.png,39256
assets/img/segment/android.png,56248
assets/img/segment/connection_schema.png,75219
assets/img/segment/ios.png,50415
assets/img/segment/property1.png,30956
assets/img/segment/segment.png,26014
assets/img/segment/segment_currents.png,55687
assets/img/segment/segment_currents1.png,22430
assets/img/segment/segment_extension3.png,15066
assets/img/segment/segment_extension9.png,11272
assets/img/segment/select_a_template.png,19153
assets/img/segment_destination_braze.png,54678
assets/img/sendbird/sendbird-dashboard-integrations-1.png,56002
assets/img/sendbird/sendbird-dashboard-integrations.png,56002
assets/img/sessionm/ComposeWebhook.png,15668
assets/img/sessionm/SessionMAddMessage.png,13630
assets/img/shareplay/shareplay1.png,179493
assets/img/shareplay/shareplay2.png,153510
assets/img/shareplay/shareplay4.png,178585
assets/img/shareplay/shareplay5.png,203213
assets/img/shopify/abandoned_cart_delay.png,7297
assets/img/shopify/abandoned_checkout_canvas.gif,43581736
assets/img/shopify/activate_channels.png,36536
assets/img/shopify/active_catalog_syn.png,74986
assets/img/shopify/add_new_app.png,14428
assets/img/shopify/add_personalization.png,15084
assets/img/shopify/arrow.jpeg,3148
assets/img/shopify/backfill1.jpg,113027
assets/img/shopify/backfill2.png,20987
assets/img/shopify/backfill3.png,31205
assets/img/shopify/begin_setup.jpg,345481
assets/img/shopify/braze_install.png,87339
assets/img/shopify/cancellation.png,18438
assets/img/shopify/cancellation2.png,55360
assets/img/shopify/catalog_toggle.png,28744
assets/img/shopify/checkout_cart_delay.png,45191
assets/img/shopify/collect_email.png,33003
assets/img/shopify/collect_email_subscribers_2.png,35540
assets/img/shopify/collect_sms.png,30799
assets/img/shopify/configure_settings.png,20781
assets/img/shopify/confirm_workspace.png,17692
assets/img/shopify/custom_attributes_segment.png,9629
assets/img/shopify/custom_events_segment.png,23058
assets/img/shopify/disconnect_integration.png,6748
assets/img/shopify/edit_config.png,13448
assets/img/shopify/edit_selection.png,35955
assets/img/shopify/finish_setup.png,40872
assets/img/shopify/fulfilled.png,11510
assets/img/shopify/fulfilled2.png,70293
assets/img/shopify/manage_users_setup.png,54713
assets/img/shopify/marketing_automations.png,4463
assets/img/shopify/marketing_automations_list.png,27675
assets/img/shopify/paid.png,11535
assets/img/shopify/paid2.png,59217
assets/img/shopify/partially_fulfilled.png,11847
assets/img/shopify/partially_fulfilled2.png,73222
assets/img/shopify/post_purchase_canvas.gif,47236736
assets/img/shopify/product_view.png,99540
assets/img/shopify/product_view2.png,6357
assets/img/shopify/product_view3.png,5096
assets/img/shopify/refund.png,11780
assets/img/shopify/refund2.png,59047
assets/img/shopify/scriptag.gif,20254179
assets/img/shopify/scripttag.gif,3595256
assets/img/shopify/scripttag1.png,18504
assets/img/shopify/scripttag2.png,63095
assets/img/shopify/scripttag3.png,45106
assets/img/shopify/scripttag4.png,13152
assets/img/shopify/scripttag5.png,44263
assets/img/shopify/selections_tab.png,27027
assets/img/shopify/shop_app_store.png,16813
assets/img/shopify/shop_setup_1.png,25304
assets/img/shopify/shop_setup_2.png,11872
assets/img/shopify/shop_setup_3a.png,55045
assets/img/shopify/shop_setup_3b.png,29595
assets/img/shopify/shop_setup_4.png,15208
assets/img/shopify/shop_setup_5.png,18785
assets/img/shopify/shop_setup_6.png,38566
assets/img/shopify/shop_setup_7.png,101708
assets/img/shopify/shop_setup_8.png,24064
assets/img/shopify/shop_setup_9.png,67598
assets/img/shopify/shop_setup_advanced_abandonment.png,45191
assets/img/shopify/shop_setup_advanced_productid.png,14860
assets/img/shopify/shop_usermerge_canvas.png,12643
assets/img/shopify/shop_usermerge_canvas_delay.png,25788
assets/img/shopify/shop_usermerge_canvas_entrycriteria.png,32808
assets/img/shopify/shop_usermerge_canvas_userupdate.png,51823
assets/img/shopify/shop_usermerge_canvas_webhook.png,65588
assets/img/shopify/shopify_advanced_settings_abandoned_checkout_delay.png,10868
assets/img/shopify/shopify_advanced_settings_product_identifier.png,14860
assets/img/shopify/shopify_app_install.png,24851
assets/img/shopify/shopify_back-in-stock.png,45486
assets/img/shopify/shopify_connected_store.png,58651
assets/img/shopify/shopify_integration10.png,69018
assets/img/shopify/shopify_integration11.png,7647
assets/img/shopify/shopify_integration12.png,30806
assets/img/shopify/shopify_integration16.png,18898
assets/img/shopify/shopify_integration17.png,14230
assets/img/shopify/shopify_integration2.png,16023
assets/img/shopify/shopify_integration3-6.gif,6577259
assets/img/shopify/shopify_integration7.png,61189
assets/img/shopify/shopify_integration77.jpg,108524
