normalized_lhs_key,change_bucket,develop_count,pr_count,develop_last_lhs,develop_last_rhs,develop_last_line,pr_last_lhs,pr_last_rhs,pr_last_line,notes
/docs/user_guide/engagement_tools/campaigns/ideas_and_strategies/activeuser_campaigns,modified,1,1,/docs/user_guide/engagement_tools/campaigns/ideas_and_strategies/activeuser_campaigns/,/docs/user_guide/messaging/campaigns/ideas_and_strategies/active_user_campaigns,4311,/docs/user_guide/engagement_tools/campaigns/ideas_and_strategies/activeuser_campaigns,/docs/user_guide/messaging/campaigns/ideas_and_strategies/active_user_campaigns,4306,lhs string canonicalized
/docs/user_guide/engagement_tools/campaigns/ideas_and_strategies/capturing_lapsingusers,modified,1,1,/docs/user_guide/engagement_tools/campaigns/ideas_and_strategies/capturing_lapsingusers/,/docs/user_guide/messaging/campaigns/ideas_and_strategies/capturing_lapsing_users,4312,/docs/user_guide/engagement_tools/campaigns/ideas_and_strategies/capturing_lapsingusers,/docs/user_guide/messaging/campaigns/ideas_and_strategies/capturing_lapsing_users,4307,lhs string canonicalized
/docs/user_guide/engagement_tools/canvas/get_started/braze_templates/lapseduser,modified,1,1,/docs/user_guide/engagement_tools/canvas/get_started/braze_templates/lapseduser/,/docs/user_guide/messaging/templates/canvas_templates/braze_templates/lapsed_user,4313,/docs/user_guide/engagement_tools/canvas/get_started/braze_templates/lapseduser,/docs/user_guide/messaging/templates/canvas_templates/braze_templates/lapsed_user,4308,lhs string canonicalized
/docs/user_guide/engagement_tools/canvas/testing_canvases/previewuser_paths,modified,1,1,/docs/user_guide/engagement_tools/canvas/testing_canvases/previewuser_paths/,/docs/user_guide/messaging/canvas/testing_canvases/preview_user_paths,4314,/docs/user_guide/engagement_tools/canvas/testing_canvases/previewuser_paths,/docs/user_guide/messaging/canvas/testing_canvases/preview_user_paths,4309,lhs string canonicalized
/docs/user_guide/engagement_tools/landing_pages/trackingusers,modified,1,1,/docs/user_guide/engagement_tools/landing_pages/trackingusers/,/docs/user_guide/messaging/landing_pages/tracking_users,4307,/docs/user_guide/engagement_tools/landing_pages/trackingusers,/docs/user_guide/messaging/landing_pages/tracking_users,4302,lhs string canonicalized
/docs/user_guide/engagement_tools/messaging_fundamentals/targetingusers,modified,1,1,/docs/user_guide/engagement_tools/messaging_fundamentals/targetingusers/,/docs/user_guide/messaging/messaging_fundamentals/target_users,4306,/docs/user_guide/engagement_tools/messaging_fundamentals/targetingusers,/docs/user_guide/messaging/messaging_fundamentals/target_users,4301,lhs string canonicalized
/docs/user_guide/engagement_tools/segments/user_profiles/duplicateusers,modified,1,1,/docs/user_guide/engagement_tools/segments/user_profiles/duplicateusers/,/docs/user_guide/audience/manage_audience/merge_duplicate_users,4303,/docs/user_guide/engagement_tools/segments/user_profiles/duplicateusers,/docs/user_guide/audience/manage_audience/merge_duplicate_users,4298,lhs string canonicalized
/docs/user_guide/getting_started/braze_overview,modified,1,1,/docs/user_guide/getting_started/braze_overview/,/docs/user_guide/get_started,4292,/docs/user_guide/getting_started/braze_overview,/docs/user_guide/get_started,4287,lhs string canonicalized
/docs/user_guide/message_building_by_channel/email/apple_mail/email_private_relay_apple_sso,develop_had_duplicate_norm_lhs,2,1,/docs/user_guide/message_building_by_channel/email/apple_mail/email_private_relay_apple_SSO/,/docs/user_guide/channels/email/best_practices/apple_mail/email_private_relay_apple_SSO,4315,/docs/user_guide/message_building_by_channel/email/apple_mail/email_private_relay_apple_sso,/docs/user_guide/channels/email/best_practices/apple_mail/email_private_relay_apple_SSO,4310,"develop 2 row(s), PR 1 row(s) | develop duplicate norm keys collapsed on PR | lhs string canonicalized"
/docs/user_guide/message_building_by_channel/email/managinguser_subscriptions,modified,1,1,/docs/user_guide/message_building_by_channel/email/managinguser_subscriptions/,/docs/user_guide/channels/email/subscriptions,4308,/docs/user_guide/message_building_by_channel/email/managinguser_subscriptions,/docs/user_guide/channels/email/subscriptions,4303,lhs string canonicalized
/docs/user_guide/message_building_by_channel/line/lineusers,modified,1,1,/docs/user_guide/message_building_by_channel/line/lineusers/,/docs/user_guide/channels/line/message_users,4316,/docs/user_guide/message_building_by_channel/line/lineusers,/docs/user_guide/channels/line/message_users,4311,lhs string canonicalized
/docs/user_guide/message_building_by_channel/line/lineusers/subscription_groups,modified,1,1,/docs/user_guide/message_building_by_channel/line/lineusers/subscription_groups/,/docs/user_guide/channels/line/message_users/subscription_groups,4305,/docs/user_guide/message_building_by_channel/line/lineusers/subscription_groups,/docs/user_guide/channels/line/message_users/subscription_groups,4300,lhs string canonicalized
/docs/user_guide/message_building_by_channel/line/lineusers/user_management,modified,1,1,/docs/user_guide/message_building_by_channel/line/lineusers/user_management/,/docs/user_guide/channels/line/message_users/user_management,4293,/docs/user_guide/message_building_by_channel/line/lineusers/user_management,/docs/user_guide/channels/line/message_users/user_management,4288,lhs string canonicalized
/docs/user_guide/message_building_by_channel/line/messagingusers,modified,1,1,/docs/user_guide/message_building_by_channel/line/messagingusers/,/docs/user_guide/channels/line/message_users,4317,/docs/user_guide/message_building_by_channel/line/messagingusers,/docs/user_guide/channels/line/message_users,4312,lhs string canonicalized
/docs/user_guide/messaging/messaging_fundamentals/targeting_users,modified,1,1,/docs/user_guide/messaging/messaging_fundamentals/targeting_users/,/docs/user_guide/messaging/messaging_fundamentals/target_users,4067,/docs/user_guide/messaging/messaging_fundamentals/targeting_users,/docs/user_guide/messaging/messaging_fundamentals/target_users,4062,lhs string canonicalized
/docs/user_guide/messaging/testing/multivariant_testing,modified,1,1,/docs/user_guide/messaging/testing/multivariant_testing/,/docs/user_guide/messaging/ab_testing,4068,/docs/user_guide/messaging/testing/multivariant_testing,/docs/user_guide/messaging/ab_testing,4063,lhs string canonicalized
/docs/user_guide/messaging/testing/multivariant_testing/optimizations,modified,1,1,/docs/user_guide/messaging/testing/multivariant_testing/optimizations/,/docs/user_guide/messaging/ab_testing/optimizations,4069,/docs/user_guide/messaging/testing/multivariant_testing/optimizations,/docs/user_guide/messaging/ab_testing/optimizations,4064,lhs string canonicalized
/docs/user_guide/messaging_fundamentals/frequency_capping,modified,1,1,/docs/user_guide/messaging_fundamentals/frequency_capping/,/docs/user_guide/messaging/messaging_fundamentals/frequency_capping,4583,/docs/user_guide/messaging_fundamentals/frequency_capping,/docs/user_guide/messaging/messaging_fundamentals/frequency_capping,4578,lhs string canonicalized
